url|title|publish_date|authors
http://pandodaily.com/2021/03/26/pandemic-pain-fueling-robo-realism/|Pandemic pain is fueling robo-realism|2021-03-26 00:00:00|[]
http://pandodaily.com/2021/03/22/this-has-been-the-year-of-digital-grieving/|This has been the year of digital grieving|2021-03-22 00:00:00|[]
